iter	Passed	Remaining
0	1	1635
1	2	1243
2	3	1134
3	4	1143
4	5	1109
5	6	1075
6	7	1035
7	8	1011
8	9	1009
9	10	999
10	10	981
11	11	955
12	12	934
13	13	916
14	13	902
15	14	897
16	15	874
17	15	865
18	16	854
19	17	838
20	17	823
21	18	805
22	18	789
23	19	774
24	19	761
25	19	749
26	20	737
27	20	725
28	21	712
29	21	700
30	22	694
31	22	684
32	23	677
33	23	668
34	23	659
35	24	651
36	24	646
37	25	638
38	25	631
39	26	624
40	26	617
41	26	611
42	27	605
43	27	605
44	28	601
45	28	595
46	28	585
47	29	580
48	29	575
49	30	571
50	30	566
51	30	562
52	31	558
53	31	554
54	32	550
55	32	543
56	32	540
57	33	538
58	33	536
59	34	532
60	34	530
61	34	528
62	35	525
63	35	522
64	36	519
65	36	515
66	36	509
67	37	507
68	37	504
69	37	501
70	38	500
71	38	499
72	39	495
73	39	494
74	39	490
75	40	488
76	40	485
77	40	483
78	41	481
79	41	478
80	41	476
81	42	474
82	42	472
83	43	470
84	43	468
85	44	467
86	44	467
87	45	466
88	45	465
89	45	464
90	46	463
91	46	462
92	47	460
93	47	458
94	47	457
95	48	455
96	48	453
97	49	453
98	49	452
99	50	452
100	50	451
101	51	449
102	51	447
103	51	446
104	52	444
105	52	443
106	52	441
107	53	440
108	53	439
109	54	437
110	54	436
111	55	436
112	55	435
113	56	435
114	56	434
115	56	432
116	57	431
117	57	430
118	57	428
119	58	427
120	58	426
121	59	425
122	59	423
123	59	422
124	60	421
125	60	421
126	61	420
127	61	419
128	62	418
129	62	417
130	62	416
131	63	415
132	63	414
133	63	413
134	64	412
135	64	410
136	65	410
137	65	408
138	65	408
139	66	407
140	66	407
141	67	406
142	67	405
143	67	403
144	68	402
145	68	401
146	69	401
147	69	400
148	69	399
149	70	398
150	70	397
151	71	396
152	71	396
153	72	396
154	72	396
155	73	395
156	73	394
157	73	393
158	74	392
159	74	391
160	74	390
161	75	389
162	75	388
163	76	388
164	76	387
165	76	386
166	77	386
167	78	386
168	78	385
169	78	384
170	79	383
171	79	382
172	79	382
173	80	380
174	80	379
175	80	378
176	81	377
177	81	376
178	82	376
179	82	375
180	82	374
181	83	374
182	83	373
183	84	372
184	84	371
185	85	372
186	85	372
187	87	375
188	87	375
189	88	375
190	88	376
191	89	376
192	89	375
193	90	375
194	90	374
195	91	373
196	91	373
197	91	372
198	92	371
199	92	371
200	93	370
201	93	370
202	94	370
203	94	370
204	95	369
205	95	368
206	96	368
207	96	367
208	97	367
209	97	367
210	98	366
211	98	366
212	98	365
213	99	365
214	100	365
215	100	364
216	100	364
217	101	363
218	101	363
219	102	362
220	102	361
221	103	361
222	103	361
223	104	360
224	104	359
225	104	359
226	105	359
227	106	359
228	106	359
229	107	359
230	107	358
231	108	358
232	108	357
233	109	356
234	109	356
235	109	355
236	110	355
237	111	355
238	111	355
239	111	354
240	112	354
241	112	352
242	113	352
243	113	351
244	113	351
245	114	350
246	114	350
247	115	349
248	115	349
249	116	348
250	116	348
251	117	348
252	117	347
253	118	347
254	118	346
255	119	346
256	119	345
257	120	345
258	120	344
259	120	344
260	121	343
261	121	343
262	122	343
263	122	342
264	123	342
265	123	341
266	124	341
267	124	340
268	125	340
269	125	339
270	125	338
271	126	337
272	126	337
273	127	336
274	127	336
275	128	335
276	128	335
277	128	334
278	129	334
279	129	333
280	130	332
281	130	332
282	130	331
283	131	330
284	131	330
285	131	329
286	132	328
287	132	328
288	133	327
289	133	327
290	134	326
291	134	325
292	134	325
293	135	324
294	135	323
295	135	323
296	136	322
297	136	321
298	137	321
299	137	320
300	137	320
301	138	319
302	138	319
303	139	318
304	139	318
305	140	317
306	140	316
307	140	316
308	141	315
309	141	315
310	141	314
311	142	313
312	142	313
313	143	312
314	143	311
315	143	311
316	144	310
317	144	310
318	145	309
319	145	309
320	145	308
321	146	308
322	146	307
323	147	306
324	147	306
325	147	305
326	148	305
327	148	304
328	149	304
329	149	303
330	149	302
331	150	302
332	150	301
333	151	301
334	151	300
335	151	300
336	152	299
337	152	299
338	153	298
339	153	297
340	153	297
341	154	296
342	154	296
343	155	295
344	155	295
345	155	294
346	156	294
347	156	293
348	157	293
349	157	292
350	157	291
351	158	291
352	158	290
353	159	290
354	159	289
355	159	289
356	160	288
357	160	287
358	160	287
359	161	286
360	161	286
361	162	285
362	162	285
363	162	284
364	163	284
365	163	283
366	164	282
367	164	282
368	164	281
369	165	281
370	165	280
371	165	280
372	166	279
373	166	279
374	167	278
375	167	278
376	168	277
377	168	277
378	168	276
379	169	276
380	169	275
381	170	275
382	170	274
383	170	274
384	171	273
385	171	273
386	172	272
387	172	271
388	172	271
389	173	271
390	173	270
391	174	269
392	174	269
393	174	268
394	175	268
395	175	267
396	175	267
397	176	266
398	176	266
399	177	265
400	177	265
401	177	264
402	178	264
403	178	263
404	179	263
405	179	262
406	179	262
407	180	261
408	180	261
409	181	260
410	181	260
411	181	259
412	182	259
413	182	258
414	182	257
415	183	257
416	183	256
417	184	256
418	184	255
419	185	255
420	185	254
421	185	254
422	186	253
423	186	253
424	186	252
425	187	252
426	187	251
427	188	251
428	188	250
429	188	250
430	189	249
431	189	249
432	190	249
433	190	248
434	191	248
435	191	247
436	191	247
437	192	246
438	192	246
439	192	245
440	193	245
441	193	244
442	194	244
443	194	243
444	194	243
445	195	242
446	195	242
447	196	241
448	196	241
449	196	240
450	197	240
451	197	239
452	198	239
453	198	238
454	198	238
455	199	237
456	199	237
457	200	236
458	200	236
459	200	235
460	201	235
461	201	234
462	202	234
463	202	234
464	203	233
465	203	233
466	203	232
467	204	232
468	204	231
469	204	231
470	205	230
471	205	230
472	206	229
473	206	229
474	207	228
475	207	228
476	207	228
477	208	227
478	208	227
479	209	226
480	209	226
481	209	225
482	210	225
483	210	224
484	211	224
485	211	223
486	211	223
487	212	222
488	212	222
489	213	222
490	213	221
491	214	221
492	214	220
493	214	220
494	215	219
495	215	219
496	216	218
497	216	218
498	217	217
499	217	217
500	217	217
501	218	216
502	218	216
503	219	215
504	219	215
505	220	215
506	220	214
507	221	214
508	221	213
509	222	213
510	222	213
511	223	212
512	223	212
513	224	211
514	224	211
515	225	211
516	225	210
517	225	210
518	226	209
519	226	209
520	227	208
521	227	208
522	228	208
523	228	207
524	229	207
525	229	206
526	230	206
527	230	206
528	230	205
529	231	205
530	231	204
531	232	204
532	232	203
533	232	203
534	233	202
535	233	202
536	234	202
537	234	201
538	235	201
539	235	200
540	236	200
541	236	199
542	236	199
543	237	198
544	237	198
545	238	197
546	238	197
547	238	196
548	239	196
549	239	196
550	240	195
551	240	195
552	240	194
553	241	194
554	241	193
555	242	193
556	242	192
557	242	192
558	243	192
559	243	191
560	244	191
561	244	190
562	245	190
563	245	189
564	246	189
565	246	188
566	246	188
567	247	188
568	247	187
569	248	187
570	248	186
571	248	186
572	249	185
573	249	185
574	250	184
575	250	184
576	250	183
577	251	183
578	251	183
579	252	182
580	252	182
581	253	181
582	253	181
583	253	180
584	254	180
585	254	180
586	255	179
587	255	179
588	256	178
589	256	178
590	257	177
591	257	177
592	257	177
593	258	176
594	258	176
595	259	175
596	259	175
597	260	174
598	260	174
599	260	173
600	261	173
601	261	173
602	262	172
603	262	172
604	263	171
605	263	171
606	263	170
607	264	170
608	265	170
609	265	169
610	266	169
611	266	168
612	266	168
613	267	168
614	267	167
615	268	167
616	268	166
617	269	166
618	269	165
619	269	165
620	270	164
621	270	164
622	270	163
623	271	163
624	271	163
625	272	162
626	272	162
627	273	161
628	273	161
629	274	161
630	274	160
631	275	160
632	275	159
633	275	159
634	276	158
635	276	158
636	277	157
637	277	157
638	277	156
639	278	156
640	278	156
641	279	155
642	279	155
643	280	154
644	280	154
645	281	154
646	281	153
647	282	153
648	282	152
649	282	152
650	283	151
651	283	151
652	284	150
653	284	150
654	285	150
655	285	149
656	286	149
657	286	148
658	286	148
659	287	147
660	287	147
661	288	147
662	288	146
663	288	146
664	289	145
665	289	145
666	290	144
667	290	144
668	291	144
669	291	143
670	292	143
671	292	142
672	292	142
673	293	141
674	293	141
675	294	140
676	294	140
677	294	140
678	295	139
679	295	139
680	296	138
681	296	138
682	297	137
683	297	137
684	298	137
685	298	136
686	298	136
687	299	135
688	299	135
689	300	134
690	300	134
691	300	133
692	301	133
693	301	133
694	302	132
695	302	132
696	303	131
697	303	131
698	304	130
699	304	130
700	304	130
701	305	129
702	305	129
703	306	128
704	306	128
705	306	127
706	307	127
707	308	127
708	308	126
709	308	126
710	309	125
711	309	125
712	310	124
713	310	124
714	311	123
715	311	123
716	311	123
717	312	122
718	312	122
719	313	121
720	313	121
721	314	121
722	314	120
723	315	120
724	315	119
725	315	119
726	316	118
727	316	118
728	317	117
729	317	117
730	318	117
731	318	116
732	319	116
733	319	115
734	320	115
735	320	114
736	321	114
737	321	114
738	321	113
739	322	113
740	322	112
741	323	112
742	323	111
743	323	111
744	324	110
745	324	110
746	325	110
747	325	109
748	326	109
749	326	108
750	327	108
751	327	107
752	327	107
753	328	107
754	328	106
755	329	106
756	329	105
757	329	105
758	330	104
759	330	104
760	331	104
761	331	103
762	331	103
763	332	102
764	332	102
765	333	101
766	333	101
767	333	100
768	334	100
769	334	99
770	335	99
771	335	99
772	335	98
773	336	98
774	336	97
775	337	97
776	337	96
777	337	96
778	338	95
779	338	95
780	339	95
781	339	94
782	339	94
783	340	93
784	340	93
785	340	92
786	341	92
787	341	91
788	342	91
789	342	91
790	343	90
791	343	90
792	343	89
793	344	89
794	344	88
795	344	88
796	345	87
797	345	87
798	346	87
799	346	86
800	346	86
801	347	85
802	347	85
803	348	84
804	348	84
805	349	84
806	349	83
807	349	83
808	350	82
809	350	82
810	351	81
811	351	81
812	351	80
813	352	80
814	352	80
815	353	79
816	353	79
817	354	78
818	354	78
819	354	77
820	355	77
821	355	77
822	355	76
823	356	76
824	356	75
825	357	75
826	357	74
827	357	74
828	358	73
829	358	73
830	359	73
831	359	72
832	360	72
833	360	71
834	361	71
835	361	70
836	361	70
837	362	70
838	362	69
839	362	69
840	363	68
841	363	68
842	364	67
843	364	67
844	365	66
845	365	66
846	365	66
847	366	65
848	366	65
849	367	64
850	367	64
851	367	63
852	368	63
853	368	63
854	369	62
855	369	62
856	369	61
857	370	61
858	370	60
859	371	60
860	371	60
861	372	59
862	372	59
863	372	58
864	373	58
865	373	57
866	373	57
867	374	56
868	374	56
869	375	56
870	375	55
871	376	55
872	376	54
873	376	54
874	377	53
875	377	53
876	378	53
877	378	52
878	378	52
879	379	51
880	379	51
881	380	50
882	380	50
883	380	49
884	381	49
885	381	49
886	382	48
887	382	48
888	382	47
889	383	47
890	383	46
891	384	46
892	384	46
893	384	45
894	385	45
895	385	44
896	386	44
897	386	43
898	386	43
899	387	43
900	387	42
901	388	42
902	388	41
903	389	41
904	389	40
905	389	40
906	390	40
907	390	39
908	391	39
909	391	38
910	391	38
911	392	37
912	392	37
913	393	36
914	393	36
915	394	36
916	394	35
917	394	35
918	395	34
919	395	34
920	395	33
921	396	33
922	396	33
923	397	32
924	397	32
925	397	31
926	398	31
927	398	30
928	399	30
929	399	30
930	399	29
931	400	29
932	400	28
933	401	28
934	401	27
935	401	27
936	402	27
937	402	26
938	403	26
939	403	25
940	403	25
941	404	24
942	404	24
943	405	24
944	405	23
945	406	23
946	406	22
947	406	22
948	407	21
949	407	21
950	407	21
951	408	20
952	408	20
953	409	19
954	409	19
955	410	18
956	410	18
957	410	18
958	411	17
959	411	17
960	412	16
961	412	16
962	412	15
963	413	15
964	413	14
965	413	14
966	414	14
967	414	13
968	415	13
969	415	12
970	416	12
971	416	11
972	416	11
973	417	11
974	417	10
975	417	10
976	418	9
977	418	9
978	419	8
979	419	8
980	419	8
981	420	7
982	420	7
983	421	6
984	421	6
985	421	5
986	422	5
987	422	5
988	423	4
989	423	4
990	423	3
991	424	3
992	424	2
993	425	2
994	425	2
995	425	1
996	426	1
997	426	0
998	427	0
999	427	0
